POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	%Leveringsrichting	SJV	WIJKEN
1011LD	1011LD	ELK	98	2989	CENTRUM
1011LD	1011LD	GAS	100	1474	CENTRUM
1011LE	1011LE	ELK	100	2648	CENTRUM
1011LE	1011LE	GAS	100	1318	CENTRUM
1011LG	1011LG	ELK	100	2781	CENTRUM
1011LG	1011LH	GAS	100	1215	CENTRUM
1011LH	1011LH	ELK	100	2325	CENTRUM
1011LJ	1011LJ	GAS	100	964	CENTRUM
1011LJ	1011LJ	ELK	100	2438	CENTRUM
1011LK	1011LL	ELK	100	2703	CENTRUM
1011LK	1011LL	GAS	100	1891	CENTRUM
1011LM	1011LM	GAS	100	1050	CENTRUM
1011LM	1011LM	ELK	100	3183	CENTRUM
1011LN	1011LP	ELK	100	2341	CENTRUM
1011LN	1011LP	GAS	100	1341	CENTRUM
1011LR	1011LR	GAS	100	1116	CENTRUM
1011LR	1011LR	ELK	100	2031	CENTRUM
1011LS	1011LS	ELK	100	1393	CENTRUM
1011LS	1011LS	GAS	100	1436	CENTRUM
1011LT	1011LT	ELK	100	1698	CENTRUM
1011LT	1011LT	GAS	100	754	CENTRUM
1011LV	1011LV	GAS	100	992	CENTRUM
1011LV	1011LV	ELK	100	1961	CENTRUM
1011LW	1011LW	GAS	100	898	CENTRUM
1011LW	1011LW	ELK	100	1861	CENTRUM
1011LX	1011LX	ELK	100	10302	CENTRUM
1011LX	1011LZ	GAS	100	1366	CENTRUM
1011LZ	1011LZ	ELK	100	3772	CENTRUM
1011MA	1011MB	ELK	100	2446	CENTRUM
1011MA	1011MB	GAS	100	779	CENTRUM
1011MC	1011MG	ELK	100	3411	CENTRUM
1011MC	1011MX	GAS	100	833	CENTRUM
1011MH	1011MH	ELK	100	3582	CENTRUM
1011MJ	1011MJ	ELK	100	7075	CENTRUM
1011MK	1011MK	ELK	100	2253	CENTRUM
1011ML	1011ML	ELK	100	2419	CENTRUM
1011MN	1011MN	ELK	98,46	2913	CENTRUM
1011MP	1011MP	ELK	100	2666	CENTRUM
1011MR	1011MR	ELK	100	2786	CENTRUM
1011MT	1011MT	ELK	100	2911	CENTRUM
1011MV	1011MV	ELK	100	2156	CENTRUM
1011MX	1011MX	ELK	100	2308	CENTRUM
1011MZ	1011MZ	GAS	100	715	CENTRUM
1011MZ	1011MZ	ELK	100	3197	CENTRUM
1011NA	1011NA	ELK	100	4245	CENTRUM
1011NA	1011NA	GAS	100	1131	CENTRUM
1011NB	1011NB	ELK	100	4780	CENTRUM
1011NB	1011NB	GAS	100	874	CENTRUM
1011NC	1011NC	ELK	100	3389	CENTRUM
1011NC	1011NC	GAS	100	815	CENTRUM
1011ND	1011ND	ELK	100	5508	CENTRUM
1011ND	1011ND	GAS	100	724	CENTRUM
1011NE	1011NK	GAS	100	4072	CENTRUM
1011NE	1011NK	ELK	100	13412	CENTRUM
1011NM	1011NS	ELK	100	6100	CENTRUM
1011NM	1011NS	GAS	100	1193	CENTRUM
1011NV	1011NV	GAS	100	1741	CENTRUM
1011NV	1011NV	ELK	100	4208	CENTRUM
1011NX	1011PB	GAS	100	871	CENTRUM
1011NX	1011PB	ELK	100	2734	CENTRUM
1011PC	1011PG	GAS	100	1169	CENTRUM
1011PC	1011PG	ELK	99,44	6389	CENTRUM
1011PL	1011PL	ELK	100	1754	CENTRUM
1011PL	1011PL	GAS	100	903	CENTRUM
1011PM	1011PM	GAS	100	2562	CENTRUM
1011PM	1011PM	ELK	100	4018	CENTRUM
1011PN	1011PN	ELK	100	11964	CENTRUM
1011PT	1011PT	GAS	100	1548	CENTRUM
1011PT	1011PT	ELK	100	4892	CENTRUM
1011PV	1011PV	ELK	100	2142	CENTRUM
1011PV	1011PW	GAS	100	1212	CENTRUM
1011PW	1011PW	ELK	100	3747	CENTRUM
1011PX	1011RA	GAS	100	1460	CENTRUM
1011PX	1011PX	ELK	100	4530	CENTRUM
1011PZ	1011PZ	ELK	100	9924	CENTRUM
1011RA	1011RA	ELK	100	2496	CENTRUM
1011RB	1011RC	ELK	100	5604	CENTRUM
1011RB	1011RC	GAS	100	1713	CENTRUM
1011RD	1011RD	ELK	100	20072	CENTRUM
1011RD	1011RE	GAS	100	5080	CENTRUM
1011RE	1011RE	ELK	100	1903	CENTRUM
1011RG	1011RG	ELK	100	1476	CENTRUM
1011RG	1011RG	GAS	100	866	CENTRUM
1011RH	1011RH	ELK	100	2753	CENTRUM
1011RH	1011RH	GAS	100	883	CENTRUM
1011RJ	1011RJ	ELK	100	2363	CENTRUM
1011RJ	1011RK	GAS	100	1907	CENTRUM
1011RK	1011RK	ELK	100	2754	CENTRUM
1011RL	1011RL	ELK	96,55	1983	CENTRUM
1011RL	1011RL	GAS	100	1464	CENTRUM
1011RM	1011RM	GAS	100	2597	CENTRUM
1011RM	1011RM	ELK	100	3916	CENTRUM
1011RN	1011RN	ELK	100	6849	CENTRUM
1011RN	1011RN	GAS	100	2889	CENTRUM
1011RP	1011RS	ELK	100	3861	CENTRUM
1011RP	1011SB	GAS	100	1744	CENTRUM
1011RT	1011SB	ELK	100	4366	CENTRUM
1011SC	1011SC	GAS	100	1447	CENTRUM
1011SC	1011SC	ELK	100	3590	CENTRUM
1011SE	1011SG	ELK	100	4340	CENTRUM
1011SE	1011SP	GAS	100	1497	CENTRUM
1011SK	1011SP	ELK	100	2402	CENTRUM
