MEETVERANTWOORDELIJKE	NETBEHEERDER	STRAATNAAM	POSTCODE_VAN	POSTCODE_TOT	PRODUCTSOORT	VERBRUIKSSEGMENT	Aantal Aansluitingen	%Leveringsrichting	%Fysieke status	%Soort aansluiting	Soort aansluiting Naam	SJV	%SJV laag tarief	%Slimme Meter	Gemiddeld aantal telwielen	WIJK
	Liander N.V. (NW)	Snoekjessteeg	1011	1011	ELK	KVB	229	100	97,38	62	1x25	3273	27,95	20,96	1,1	CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	58	100	74,14	53	1x25	3848	58,62	56,9	1	CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	48	100	77,08	96	G4	859	0	60,42		CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	40	100	55	95	G4	1173	0	52,5		CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	47	100	55,32	51	3x25	4708	55,32	48,94	1,5	CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	18	100	100	94	G4	1374	0	61,11		CENTRUM
	GAS Liander	Nieuwe Hoogstraat	1011	1011	GAS	KVB	26	100	100	88	G4	980	0	96,15		CENTRUM
	Liander N.V. (NW)	Nieuwe Hoogstraat	1011	1011	ELK	KVB	28	100	100	68	1x25	4842	96,43	96,43	1	CENTRUM
	GAS Liander	Onkelboerensteeg	1011	1011	GAS	KVB	21	100	100	100	G4	1123	0	95,24		CENTRUM
	Liander N.V. (NW)	Onkelboerensteeg	1011	1011	ELK	KVB	21	100	100	81	1x25	2140	95,24	95,24	1	CENTRUM
	Liander N.V. (NW)	Zandstraat	1011	1011	ELK	KVB	16	100	100	44	1x25	2558	50	50	1	CENTRUM
	GAS Liander	Zandstraat	1011	1011	GAS	KVB	14	100	100	79	G4	1429	0	50		CENTRUM
	GAS Liander	Zandstraat	1011	1011	GAS	KVB	10	100	100	90	G4	1690	0	70		CENTRUM
	Liander N.V. (NW)	Zandstraat	1011	1011	ELK	KVB	11	100	100	64	1x25	2523	81,82	72,73	1,3	CENTRUM
	Liander N.V. (NW)	Zandstraat	1011	1011	ELK	KVB	21	100	100	67	1x25	1685	80,95	80,95	1	CENTRUM
	GAS Liander	Zandstraat	1011	1011	GAS	KVB	20	100	100	100	G4	1120	0	80		CENTRUM
Liander N.V.	Liander N.V. (NW)	Zanddwarsstraat	1011	1011	ELK	KVB	27	100	96,3	59	1x25	2421	92,59	88,89	1,5	CENTRUM
	GAS Liander	Zanddwarsstraat	1011	1011	GAS	KVB	24	100	100	83	G4	1615	0	95,83		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	47	100	100	79	1x25	4149	85,11	85,11	1	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	42	100	100	90	G4	1546	0	83,33		CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	38	100	100	89	G4	1300	0	81,58		CENTRUM
Liander N.V.	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	44	100	95,45	41	1x25	2361	75	75	1,1	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	20	100	100	90	G4	1696	0	95		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	22	100	100	55	1x25	2890	95,45	95,45	1	CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	22	100	100	59	1x25	2486	90,91	90,91	1	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	20	100	100	85	G4	1386	0	90		CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	23	100	100	91	G4	2086	0	78,26		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	29	100	96,55	41	1x25	3571	79,31	72,41	1,2	CENTRUM
	GAS Liander	Groenburgwal	1011	1011	GAS	KVB	11	100	100	91	G4	1357	0	90,91		CENTRUM
	Liander N.V. (NW)	Groenburgwal	1011	1011	ELK	KVB	13	100	92,31	54	1x25	2299	84,62	84,62	1	CENTRUM
	Liander N.V. (NW)	Verversstraat	1011	1011	ELK	KVB	42	100	100	69	1x25	3676	95,24	95,24	1	CENTRUM
	GAS Liander	Verversstraat	1011	1011	GAS	KVB	38	100	100	87	G4	1425	0	97,37		CENTRUM
Liander N.V.	Liander N.V. (NW)	Verversstraat	1011	1011	ELK	KVB	24	100	95,83	46	1x25	1903	75	75	1	CENTRUM
Liander N.V.	GAS Liander	Verversstraat	1011	1011	GAS	KVB	18	100	94,44	83	G4	1515	0	88,89		CENTRUM
	Liander N.V. (NW)	Zwanenburgwal	1011	1011	ELK	KVB	39	100	100	69	1x25	2102	76,92	76,92	1	CENTRUM
	GAS Liander	Zwanenburgwal	1011	1011	GAS	KVB	36	100	97,22	89	G4	1151	0	75		CENTRUM
